n,time,displacement,max_or_min
20,0,72.94,1
22,1.93012494,72.87,1
24,3.67580336,71.48,1
26,5.62923759,71.43,1
28,7.51305145,72.25,1
29,9.43398994,71.53,1
30,11.3210985,71.55,1
31,13.13931888,71.68,1
32,15.15721148,70.45,1
33,16.97669118,70.29,1
34,18.8054313,71.19,1
35,20.81314104,70.29,1
36,22.66911906,69.98,1
37,24.63469451,69.14,1
38,26.45255059,70.29,1
39,28.34384888,69.62,1
40,30.17590707,68.78,1
41,32.10803812,69.42,1
42,33.97839707,67.59,1
43,35.95148986,68.13,1
44,37.80557173,68.26,1
45,39.73095911,67.46,1
46,41.59542578,67.65,1
47,43.47849601,68.06,1
48,45.4049887,67.03,1
49,47.29429072,67.39,1
50,49.11187023,67.3,1
51,51.08280509,66.98,1
52,52.97187036,66.48,1
53,54.93935388,67.16,1
54,56.76941985,66.46,1
55,58.59877723,65.89,1
56,60.57546323,66.89,1
57,62.46328729,66.41,1
58,64.31213635,65.27,1
59,66.14576643,65.22,1
60,68.09544414,65.46,1
61,69.96775287,64.67,1
62,71.90111369,65.6,1
63,73.75028366,64.98,1
64,75.71251338,64.54,1
65,77.50321191,64.33,1
66,79.54697436,64.48,1
67,81.40104121,64.12,1
68,83.23814219,63.93,1
69,85.13044876,63.92,1
70,87.04902929,63.81,1
71,88.94147652,63.04,1
72,90.78041953,63.35,1
73,92.7209446,63.35,1
74,94.6113431,62.84,1
75,96.445599,63.16,1
76,98.4042851,63.81,1
77,100.2669067,62.32,1
78,102.2201127,62.11,1
79,104.0592951,63.45,1
80,105.972773,62.68,1
81,107.8802189,61.8,1
82,109.7269739,62.16,1
83,111.6385471,62.63,1
84,113.5768222,60.98,1
85,115.4020311,61.7,1
86,117.3595492,61.41,1
87,119.2256281,61.17,1
88,121.222402,61.39,1
89,122.9398083,61.87,1
90,124.8830895,60.72,1
91,126.7362835,60.77,1
92,128.7292339,61.24,1
93,130.5833015,60.77,1
94,132.4447245,60.72,1
95,134.3695838,60.29,1
96,136.2496728,60.31,1
97,138.2272267,59.52,1
98,140.0555605,60.03,1
99,141.9376695,59.95,1
