,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time,,,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time,,Time (s),,,Linearized Displacement (ln[cm]),,
0,0,,30.19,2.594969239,shortpend_0.00126_1_data.csv,8,0,,0,6,6,55.74,3.092177988,0.63491_data (1).csv,,3.8248,,3.825,±,0.003,3.1,±,0.1
1,1,,30.55,2.621487834,shortpend_0.00126_1_data.csv,9,1.9287932,,1,7,7,46.07,2.514060512,0.63491_data (1).csv,,5.88003,,5.880,±,0.003,2.5,±,0.1
2,2,,31.07,2.658592083,shortpend_0.00126_1_data.csv,10,3.755934,,2,8,8,41.2,2.012900477,0.63491_data (1).csv,,8.06259,,8.063,±,0.003,2.0,±,0.1
3,4,,30.86,2.643772999,shortpend_0.00126_1_data.csv,12,5.702347,,3,9,9,39.12,1.687323702,0.63491_data (1).csv,,10.12964,,10.130,±,0.003,1.7,±,0.2
4,5,,30.81,2.640212039,shortpend_0.00126_1_data.csv,13,7.5123983,,4,10,10,38.04,1.464411204,0.63491_data (1).csv,,12.18762,,12.188,±,0.003,1.5,±,0.2
5,6,,30.07,2.585971096,shortpend_0.00126_1_data.csv,14,9.3501189,,5,11,11,37.16,1.236922729,0.63491_data (1).csv,,14.31302,,14.313,±,0.003,1.2,±,0.2
6,7,,30.6,2.625115976,shortpend_0.00126_1_data.csv,15,11.3163231,,0,2,2,55.76,3.125654093,0.63491_data (2).csv,,4.04587,,4.046,±,0.003,3.1,±,0.1
7,8,,30.45,2.61419182,shortpend_0.00126_1_data.csv,16,13.1264832,,1,3,3,46.17,2.57906367,0.63491_data (2).csv,,6.21264,,6.213,±,0.003,2.6,±,0.1
0,1,,30.72,2.633784976,shortpend_0.00126_2_data.csv,3,1.504892729,,2,4,4,41.99,2.197756332,0.63491_data (2).csv,,8.35829,,8.358,±,0.003,2.2,±,0.1
1,2,,30.5,2.617861512,shortpend_0.00126_2_data.csv,5,3.43522229,,3,5,5,39.43,1.863271597,0.63491_data (2).csv,,10.55756,,10.558,±,0.003,1.9,±,0.2
2,3,,29.93,2.575385579,shortpend_0.00126_2_data.csv,7,5.307957552,,4,6,6,37.73,1.557046555,0.63491_data (2).csv,,12.48886,,12.489,±,0.003,1.6,±,0.2
3,4,,30.57,2.622955625,shortpend_0.00126_2_data.csv,8,7.210194729,,5,7,7,37.11,1.417014397,0.63491_data (2).csv,,14.45663,,14.457,±,0.003,1.4,±,0.2
4,5,,31.49,2.687601293,shortpend_0.00126_2_data.csv,9,9.147434852,,6,8,8,37.27,1.455070857,0.63491_data (2).csv,,14.6436,,14.644,±,0.003,1.5,±,0.2
5,6,,29.83,2.56774401,shortpend_0.00126_2_data.csv,10,10.96979751,,0,0,0,55.27,3.095539057,0.63491_data (3).csv,,1.28824,,1.288,±,0.003,3.1,±,0.1
6,7,,30.03,2.582969197,shortpend_0.00126_2_data.csv,11,12.82294264,,1,1,1,46.56,2.59444453,0.63491_data (3).csv,,3.32672,,3.327,±,0.003,2.6,±,0.1
7,8,,30.14,2.591245284,shortpend_0.00126_2_data.csv,12,14.78758158,,2,2,2,41.77,2.151663131,0.63491_data (3).csv,,5.4885,,5.489,±,0.003,2.2,±,0.1
0,0,,31.19,2.663113779,shortpend_0.00126_3_data.csv,5,4.385598623,,3,3,3,39.38,1.826023692,0.63491_data (3).csv,,7.43593,,7.436,±,0.003,1.8,±,0.2
1,1,,30.67,2.626180055,shortpend_0.00126_3_data.csv,6,6.195396626,,4,4,4,39.38,1.826023692,0.63491_data (3).csv,,7.56493,,7.565,±,0.003,1.8,±,0.2
2,2,,30.62,2.622555779,shortpend_0.00126_3_data.csv,8,8.156603062,,5,5,5,37.56,1.479135136,0.63491_data (3).csv,,9.57136,,9.571,±,0.003,1.5,±,0.2
3,3,,30.77,2.633389437,shortpend_0.00126_3_data.csv,10,9.987531626,,6,6,6,36.94,1.326848988,0.63491_data (3).csv,,11.68039,,11.680,±,0.003,1.3,±,0.2
4,4,,30.4,2.606451044,shortpend_0.00126_3_data.csv,12,11.90492316,,7,7,7,37.01,1.345250473,0.63491_data (3).csv,,13.63857,,13.639,±,0.003,1.3,±,0.2
5,5,,29.83,2.56347704,shortpend_0.00126_3_data.csv,13,13.73388501,,0,0,0,56.56,3.140703034,0.63491_data (4).csv,,1.32318,,1.323,±,0.003,3.1,±,0.1
6,6,,29.83,2.56347704,shortpend_0.00126_3_data.csv,14,13.84697601,,1,1,1,46.1,2.538456531,0.63491_data (4).csv,,3.37869,,3.379,±,0.003,2.5,±,0.1
0,0,,72.94,3.585786018,0_data.csv,20,0,,2,2,2,41.36,2.069405774,0.63491_data (4).csv,,5.52471,,5.525,±,0.003,2.1,±,0.1
1,1,,72.87,3.583844093,0_data.csv,22,1.93012494,,3,3,3,39.18,1.747479312,0.63491_data (4).csv,,7.60635,,7.606,±,0.003,1.7,±,0.2
2,2,,71.48,3.544480868,0_data.csv,24,3.67580336,,4,4,4,37.68,1.444590482,0.63491_data (4).csv,,9.66994,,9.670,±,0.003,1.4,±,0.2
3,3,,71.43,3.543035644,0_data.csv,26,5.62923759,,5,5,5,37.68,1.444590482,0.63491_data (4).csv,,9.7379,,9.738,±,0.003,1.4,±,0.2
4,4,,72.25,3.56647754,0_data.csv,28,7.51305145,,6,7,7,37.78,1.467900934,0.63491_data (4).csv,,11.74187,,11.742,±,0.003,1.5,±,0.2
5,5,,71.53,3.545924007,0_data.csv,29,9.43398994,,7,8,8,36.8,1.211975314,0.63491_data (4).csv,,13.64493,,13.645,±,0.003,1.2,±,0.2
6,6,,71.55,3.54650068,0_data.csv,30,11.3210985,,,,,,,,,,,,,,,,
7,7,,71.68,3.55024097,0_data.csv,31,13.13931888,,,,,,,,,,,,,,,,
8,8,,70.45,3.514279235,0_data.csv,32,15.15721148,,,,,,,,,,,,,,,,
9,9,,70.29,3.509504775,0_data.csv,33,16.97669118,,,,,,,,,,,,,,,,
10,10,,71.19,3.536069343,0_data.csv,34,18.8054313,,,,,,,,,,,,,,,,
11,11,,70.29,3.509504775,0_data.csv,35,20.81314104,,,,,,,,,,,,,,,,
12,12,,69.98,3.500188882,0_data.csv,36,22.66911906,,,,,,,,,,,,,,,,
13,13,,69.14,3.474500737,0_data.csv,37,24.63469451,,,,,,,,,,,,,,,,
14,14,,70.29,3.509504775,0_data.csv,38,26.45255059,,,,,,,,,,,,,,,,
15,15,,69.62,3.489260378,0_data.csv,39,28.34384888,,,,,,,,,,,,,,,,
16,16,,68.78,3.463286263,0_data.csv,40,30.17590707,,,,,,,,,,,,,,,,
17,17,,69.42,3.48313698,0_data.csv,41,32.10803812,,,,,,,,,,,,,,,,
18,18,,67.59,3.425294938,0_data.csv,42,33.97839707,,,,,,,,,,,,,,,,
19,19,,68.13,3.442713774,0_data.csv,43,35.95148986,,,,,,,,,,,,,,,,
20,20,,68.26,3.446862269,0_data.csv,44,37.80557173,,,,,,,,,,,,,,,,
21,21,,67.46,3.421055807,0_data.csv,45,39.73095911,,,,,,,,,,,,,,,,
22,22,,67.65,3.427245415,0_data.csv,46,41.59542578,,,,,,,,,,,,,,,,
23,23,,68.06,3.440472819,0_data.csv,47,43.47849601,,,,,,,,,,,,,,,,
24,24,,67.03,3.406904646,0_data.csv,48,45.4049887,,,,,,,,,,,,,,,,
