,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time
0,0,,30.19,2.2564785746911853,shortpend_0.00126_1_data.csv,8.0,0.0
1,1,,30.55,2.2934840419418405,shortpend_0.00126_1_data.csv,9.0,1.9287932
2,2,,31.07,2.344628969345749,shortpend_0.00126_1_data.csv,10.0,3.755934
3,4,,30.86,2.324288107683784,shortpend_0.00126_1_data.csv,12.0,5.7023470000000005
4,5,,30.81,2.319383445462254,shortpend_0.00126_1_data.csv,13.0,7.512398299999999
5,6,,30.07,2.243832720469136,shortpend_0.00126_1_data.csv,14.0,9.3501189
6,7,,30.6,2.298517067948506,shortpend_0.00126_1_data.csv,15.0,11.3163231
7,8,,30.45,2.2833413524143507,shortpend_0.00126_1_data.csv,16.0,13.1264832
0,1,,30.72,2.302922931275381,shortpend_0.00126_2_data.csv,3.0,1.504892729
1,2,,30.5,2.2806849206497555,shortpend_0.00126_2_data.csv,5.0,3.43522229
2,3,,29.93,2.2206566617622787,shortpend_0.00126_2_data.csv,7.0,5.307957552
3,4,,30.57,2.287814437328556,shortpend_0.00126_2_data.csv,8.0,7.210194728999999
4,5,,31.49,2.37707817952574,shortpend_0.00126_2_data.csv,9.0,9.147434852
5,6,,29.83,2.209743548491296,shortpend_0.00126_2_data.csv,10.0,10.96979751
6,7,,30.03,2.2314519635257115,shortpend_0.00126_2_data.csv,11.0,12.82294264
7,8,,30.14,2.2431937242231745,shortpend_0.00126_2_data.csv,12.0,14.78758158
0,0,,31.19,2.455946752608265,shortpend_0.00126_3_data.csv,5.0,4.385598623
1,1,,30.67,2.410314655773063,shortpend_0.00126_3_data.csv,6.0,6.195396626
2,2,,30.62,2.405815196465142,shortpend_0.00126_3_data.csv,8.0,8.156603062
3,3,,30.77,2.4192532906895914,shortpend_0.00126_3_data.csv,10.0,9.987531626
4,4,,30.4,2.3857734689183387,shortpend_0.00126_3_data.csv,12.0,11.90492316
5,5,,29.83,2.3318977544067327,shortpend_0.00126_3_data.csv,13.0,13.73388501
6,6,,29.83,2.3318977544067327,shortpend_0.00126_3_data.csv,14.0,13.84697601
0,0,,72.94,3.4431962318550298,0_data.csv,20.0,0.0
1,1,,72.87,3.440956359819657,0_data.csv,22.0,1.93012494
2,2,,71.48,3.395407264195246,0_data.csv,24.0,3.67580336
3,3,,71.43,3.3937295127026568,0_data.csv,26.0,5.62923759
4,4,,72.25,3.420895375664806,0_data.csv,28.0,7.51305145
5,5,,71.53,3.397082205551817,0_data.csv,29.0,9.43398994
6,6,,71.55,3.3977513973630726,0_data.csv,30.0,11.3210985
7,7,,71.68,3.4020902625493004,0_data.csv,31.0,13.13931888
0,0,0.0,72.42,3.2571629370180313,shortpend_01057_1_data.csv,,0.0
1,1,1.0,74.33,3.328115364622509,shortpend_01057_1_data.csv,,2.007936405
2,2,2.0,72.73,3.2690264993645823,shortpend_01057_1_data.csv,,4.001289772
3,3,3.0,72.27,3.251371579992715,shortpend_01057_1_data.csv,,5.75472443
4,4,4.0,72.25,3.2505968587264973,shortpend_01057_1_data.csv,,7.505726027000001
5,5,5.0,72.3,3.2525325376912257,shortpend_01057_1_data.csv,,9.411167311
6,6,6.0,71.58,3.224290646279226,shortpend_01057_1_data.csv,,11.33203881
7,7,7.0,72.01,3.241253084025116,shortpend_01057_1_data.csv,,13.23850863
