,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time
0,0,,30.19,2.594969238938765,shortpend_0.00126_1_data.csv,8.0,0.0
1,1,,30.55,2.621487834165338,shortpend_0.00126_1_data.csv,9.0,1.9287932
2,2,,31.07,2.658592083116417,shortpend_0.00126_1_data.csv,10.0,3.755934
3,4,,30.86,2.6437729986713947,shortpend_0.00126_1_data.csv,12.0,5.7023470000000005
4,5,,30.81,2.6402120394313293,shortpend_0.00126_1_data.csv,13.0,7.512398299999999
5,6,,30.07,2.585971096128353,shortpend_0.00126_1_data.csv,14.0,9.3501189
6,7,,30.6,2.6251159757317577,shortpend_0.00126_1_data.csv,15.0,11.3163231
7,8,,30.45,2.6141918203908667,shortpend_0.00126_1_data.csv,16.0,13.1264832
0,1,,30.72,2.633784976125955,shortpend_0.00126_2_data.csv,3.0,1.504892729
1,2,,30.5,2.617861512243145,shortpend_0.00126_2_data.csv,5.0,3.43522229
2,3,,29.93,2.575385578903257,shortpend_0.00126_2_data.csv,7.0,5.307957552
3,4,,30.57,2.622955625409733,shortpend_0.00126_2_data.csv,8.0,7.210194728999999
4,5,,31.49,2.687601292976861,shortpend_0.00126_2_data.csv,9.0,9.147434852
5,6,,29.83,2.5677440098270505,shortpend_0.00126_2_data.csv,10.0,10.96979751
6,7,,30.03,2.5829691969583903,shortpend_0.00126_2_data.csv,11.0,12.82294264
7,8,,30.14,2.5912452839524733,shortpend_0.00126_2_data.csv,12.0,14.78758158
0,0,,31.19,2.6631137789695507,shortpend_0.00126_3_data.csv,5.0,4.385598623
1,1,,30.67,2.6261800551747214,shortpend_0.00126_3_data.csv,6.0,6.195396626
2,2,,30.62,2.6225557791866123,shortpend_0.00126_3_data.csv,8.0,8.156603062
3,3,,30.77,2.633389437468122,shortpend_0.00126_3_data.csv,10.0,9.987531626
4,4,,30.4,2.6064510441900515,shortpend_0.00126_3_data.csv,12.0,11.90492316
5,5,,29.83,2.563477040341756,shortpend_0.00126_3_data.csv,13.0,13.73388501
6,6,,29.83,2.563477040341756,shortpend_0.00126_3_data.csv,14.0,13.84697601
0,0,,72.94,3.5857860181524246,0_data.csv,20.0,0.0
1,1,,72.87,3.5838440926079147,0_data.csv,22.0,1.93012494
2,2,,71.48,3.5444808683679647,0_data.csv,24.0,3.67580336
3,3,,71.43,3.543035643883204,0_data.csv,26.0,5.62923759
4,4,,72.25,3.5664775399503936,0_data.csv,28.0,7.51305145
5,5,,71.53,3.5459240071927987,0_data.csv,29.0,9.43398994
6,6,,71.55,3.5465006800853183,0_data.csv,30.0,11.3210985
7,7,,71.68,3.5502409696893484,0_data.csv,31.0,13.13931888
8,8,,70.45,3.514279234506308,0_data.csv,32.0,15.15721148
9,9,,70.29,3.5095047745906154,0_data.csv,33.0,16.97669118
10,10,,71.19,3.5360693426943417,0_data.csv,34.0,18.8054313
11,11,,70.29,3.5095047745906154,0_data.csv,35.0,20.81314104
12,12,,69.98,3.500188881712535,0_data.csv,36.0,22.66911906
13,13,,69.14,3.474500737068692,0_data.csv,37.0,24.63469451
14,14,,70.29,3.5095047745906154,0_data.csv,38.0,26.45255059
15,15,,69.62,3.4892603776732245,0_data.csv,39.0,28.34384888
16,16,,68.78,3.463286262777713,0_data.csv,40.0,30.17590707
17,17,,69.42,3.4831369799536653,0_data.csv,41.0,32.10803812
18,18,,67.59,3.425294937655292,0_data.csv,42.0,33.97839707
19,19,,68.13,3.4427137735199724,0_data.csv,43.0,35.95148986
20,20,,68.26,3.4468622689111332,0_data.csv,44.0,37.80557173
21,21,,67.46,3.421055806510291,0_data.csv,45.0,39.73095911
22,22,,67.65,3.4272454151804426,0_data.csv,46.0,41.59542578
23,23,,68.06,3.4404728193669074,0_data.csv,47.0,43.47849601
24,24,,67.03,3.40690464595887,0_data.csv,48.0,45.4049887
25,25,,67.39,3.4187657322292835,0_data.csv,49.0,47.29429072
26,26,,67.3,3.41581362382264,0_data.csv,50.0,49.11187023
27,27,,66.98,3.405246089662461,0_data.csv,51.0,51.08280509
28,28,,66.48,3.3885074524424166,0_data.csv,52.0,52.97187036
29,29,,67.16,3.411204062502724,0_data.csv,53.0,54.93935388
30,30,,66.46,3.387832043880035,0_data.csv,54.0,56.76941985
31,31,,65.89,3.3683885931420754,0_data.csv,55.0,58.59877723
0,0,0.0,72.42,3.4827702407017456,shortpend_01057_1_data.csv,,0.0
1,1,1.0,74.33,3.53979249822634,shortpend_01057_1_data.csv,,2.007936405
2,2,2.0,72.73,3.4922490519013647,shortpend_01057_1_data.csv,,4.001289772
3,3,3.0,72.27,3.478151261845551,shortpend_01057_1_data.csv,,5.75472443
4,4,4.0,72.25,3.4775337828736688,shortpend_01057_1_data.csv,,7.505726027000001
5,5,5.0,72.3,3.479076765990896,shortpend_01057_1_data.csv,,9.411167311
6,6,6.0,71.58,3.4566247717767897,shortpend_01057_1_data.csv,,11.33203881
7,7,7.0,72.01,3.4700941414271247,shortpend_01057_1_data.csv,,13.23850863
8,8,8.0,71.55,3.4556782432439705,shortpend_01057_1_data.csv,,15.46842806
9,9,9.0,71.8,3.4635387403665043,shortpend_01057_1_data.csv,,17.00383966
10,10,10.0,72.06,3.471648637641442,shortpend_01057_1_data.csv,,19.1714267
11,11,11.0,69.52,3.3894543003190933,shortpend_01057_1_data.csv,,20.9042701
12,12,12.0,70.65,3.4268575905643317,shortpend_01057_1_data.csv,,22.82202499
13,13,13.0,69.31,3.3823464129180105,shortpend_01057_1_data.csv,,24.88632743
14,14,14.0,69.9,3.4021891558902078,shortpend_01057_1_data.csv,,26.48532717
15,15,15.0,68.75,3.363141280265284,shortpend_01057_1_data.csv,,28.48322384
16,16,16.0,71.03,3.4391277750814435,shortpend_01057_1_data.csv,,30.29120057
17,17,17.0,68.08,3.3396683004484338,shortpend_01057_1_data.csv,,32.09861748
18,18,18.0,68.8,3.3648710991135817,shortpend_01057_1_data.csv,,34.47164242
19,19,19.0,67.87,3.3321962239252367,shortpend_01057_1_data.csv,,36.46074288
20,20,20.0,68.49,3.3540976673855285,shortpend_01057_1_data.csv,,37.9360153
21,21,21.0,67.94,3.3346931247878744,shortpend_01057_1_data.csv,,40.13536851
22,22,22.0,68.45,3.3526990544128634,shortpend_01057_1_data.csv,,41.66017072
23,23,23.0,67.35,3.313450024304029,shortpend_01057_1_data.csv,,43.50938599
24,24,24.0,67.61,3.3228670509714697,shortpend_01057_1_data.csv,,45.4333555
25,25,25.0,67.3,3.3116288465091523,shortpend_01057_1_data.csv,,47.29963295
26,26,26.0,66.99,3.3002629079457098,shortpend_01057_1_data.csv,,49.26485579
27,27,27.0,67.04,3.3021048840555385,shortpend_01057_1_data.csv,,51.10171978
28,28,28.0,66.79,3.292860886090136,shortpend_01057_1_data.csv,,53.11065261
29,29,29.0,66.37,3.2771359777071387,shortpend_01057_1_data.csv,,54.89819281
30,30,30.0,65.7,3.2515276247198344,shortpend_01057_1_data.csv,,56.77641146
31,31,31.0,66.65,3.287646676519828,shortpend_01057_1_data.csv,,58.68019884
0,0,0.0,68.2,3.366527367778908,shortpend_0.01057_2_data.csv,,0.0
1,1,1.0,68.18,3.3658369441413165,shortpend_0.01057_2_data.csv,,1.21551687
2,2,2.0,67.41,3.33888653409304,shortpend_0.01057_2_data.csv,,3.009435
3,3,3.0,67.51,3.3424278998028827,shortpend_0.01057_2_data.csv,,5.01044733
4,4,4.0,67.53,3.343134670475629,shortpend_0.01057_2_data.csv,,6.77350003
5,5,5.0,67.51,3.3424278998028827,shortpend_0.01057_2_data.csv,,8.62575275
6,6,6.0,66.94,3.3220720337380474,shortpend_0.01057_2_data.csv,,10.60851724
7,7,7.0,67.3,3.3349764917010583,shortpend_0.01057_2_data.csv,,12.44027597
8,8,8.0,66.07,3.2901810187198985,shortpend_0.01057_2_data.csv,,14.45637853
9,9,9.0,66.79,3.3166456375316176,shortpend_0.01057_2_data.csv,,16.31540377
10,10,10.0,65.91,3.284203652791185,shortpend_0.01057_2_data.csv,,18.26824195
11,11,11.0,66.01,3.287943691386853,shortpend_0.01057_2_data.csv,,20.09224135
12,12,12.0,65.84,3.2815772779991503,shortpend_0.01057_2_data.csv,,21.93082745
13,13,13.0,66.12,3.292041642004462,shortpend_0.01057_2_data.csv,,23.90213949
14,14,14.0,65.19,3.256854349768588,shortpend_0.01057_2_data.csv,,25.60530335
15,15,15.0,65.4,3.2649087878889382,shortpend_0.01057_2_data.csv,,28.51815278
16,16,16.0,65.22,3.2580089632843494,shortpend_0.01057_2_data.csv,,29.55385715
17,17,17.0,64.73,3.2389812751925056,shortpend_0.01057_2_data.csv,,31.47122747
18,18,18.0,64.98,3.24873451054926,shortpend_0.01057_2_data.csv,,33.37364036
19,19,19.0,64.73,3.2389812751925056,shortpend_0.01057_2_data.csv,,35.46227652
20,20,20.0,64.31,3.2223786092112654,shortpend_0.01057_2_data.csv,,37.3671065
21,21,21.0,64.47,3.2287359796371327,shortpend_0.01057_2_data.csv,,39.40584547
22,22,22.0,64.05,3.211960898035437,shortpend_0.01057_2_data.csv,,40.89020974
23,23,23.0,63.56,3.1920275399026288,shortpend_0.01057_2_data.csv,,42.96556789
