,SA,average_slope,min slope,max slope,diff,,,,,,,,,,,,,,,,,
0,0.00126,0.00910659,-0.021954358,0.00866946,0.015311909,,,,,,,,,,,,,,,,,
1,0.0106,0.003624812,-0.026720323,-0.002140517,0.012289903,,,,,,,,,,,,,,,,,
2,0.107,0.035814838,-0.041382825,-0.016782795,0.012300015,,,,,,,,,,,,,,,,,
3,0.215,0.066871154,-0.06547244,-0.037066011,0.014203215,,,,,,,,,,,,,,,,,
4,0.326,0.096952673,-0.079912506,-0.05014879,0.014881858,,,,,,,,,,,,,,,,,
5,0.43,0.12178192,-0.117964096,-0.083104818,0.017429639,,,,,,,,,,,,,,,,,
6,0.545,0.140530042,-0.128725673,-0.089054711,0.019835481,,,,,,,,,,,,,,,,,
7,0.653,0.15097636,-0.151451835,-0.105711861,0.022869987,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Surface Area (m^3),,,n trials,m_Average,m_Max,m_Max,m_Diff,m_Diff/n,Averages,,,,,,
,,,,,,,0.01057,±,0.005,3,0.0036,-0.0267,-0.0021,0.0123,0.004096634,SA,n trials,Slope (D),max,min,avg,avg/n
,,,,,,,0.107,±,0.004,4,0.0358,-0.0414,-0.0168,0.0123,0.003075004,0.01057,3,-0.004898318,-0.00781,-0.03356,0.012875,0.004292
,,,,,,,0.215,±,0.005,4,0.0669,-0.0655,-0.0371,0.0142,0.003550804,0.10582,4,-0.03766472,-0.01345,-0.03821,0.012382,0.003096
,,,,,,,0.326,±,0.006,4,0.0970,-0.0799,-0.0501,0.0149,0.003720464,0.21164,4,-0.069488232,-0.04341,-0.0728,0.014693,0.003673
,,,,,,,0.43,±,0.007,4,0.1218,-0.1180,-0.0831,0.0174,0.00435741,0.31746,4,-0.102809848,-0.06225,-0.09416,0.015953,0.003988
,,,,,,,0.545,±,0.007,3,0.1405,-0.1287,-0.0891,0.0198,0.006611827,0.42328,4,-0.12300072,-0.08791,-0.12556,0.018826,0.004706
,,,,,,,0.653,±,0.008,4,0.1510,-0.1515,-0.1057,0.0229,0.005717497,0.5291,3,-0.147110414,-0.09768,-0.14113,0.021728,0.007243
,,,,,,,,,,,,,,,,0.63491,4,-0.165163108,-0.10399,-0.15094,0.023471,0.005868
