,Unnamed: 0,time,displacement,max_or_min,displacement_linearized
0,0,0.0,68.2,shortpend_0.01057_2_data.csv,3.3665273677789074
1,1,1.21551687,68.18,shortpend_0.01057_2_data.csv,3.365836944141316
2,2,3.009435,67.41,shortpend_0.01057_2_data.csv,3.3388865340930396
3,3,5.01044733,67.51,shortpend_0.01057_2_data.csv,3.3424278998028827
4,4,6.77350003,67.53,shortpend_0.01057_2_data.csv,3.343134670475629
5,5,8.62575275,67.51,shortpend_0.01057_2_data.csv,3.3424278998028827
6,6,10.60851724,66.94,shortpend_0.01057_2_data.csv,3.3220720337380474
7,7,12.44027597,67.3,shortpend_0.01057_2_data.csv,3.3349764917010583
8,8,14.45637853,66.07,shortpend_0.01057_2_data.csv,3.2901810187198985
9,9,16.31540377,66.79,shortpend_0.01057_2_data.csv,3.3166456375316176
10,10,18.26824195,65.91,shortpend_0.01057_2_data.csv,3.284203652791185
11,11,20.09224135,66.01,shortpend_0.01057_2_data.csv,3.287943691386853
12,12,21.93082745,65.84,shortpend_0.01057_2_data.csv,3.28157727799915
13,13,23.90213949,66.12,shortpend_0.01057_2_data.csv,3.292041642004462
14,14,25.60530335,65.19,shortpend_0.01057_2_data.csv,3.2568543497685876
15,15,28.51815278,65.4,shortpend_0.01057_2_data.csv,3.264908787888938
16,16,29.55385715,65.22,shortpend_0.01057_2_data.csv,3.2580089632843494
17,17,31.47122747,64.73,shortpend_0.01057_2_data.csv,3.2389812751925056
18,18,33.37364036,64.98,shortpend_0.01057_2_data.csv,3.24873451054926
19,19,35.46227652,64.73,shortpend_0.01057_2_data.csv,3.2389812751925056
20,20,37.3671065,64.31,shortpend_0.01057_2_data.csv,3.2223786092112654
21,21,39.40584547,64.47,shortpend_0.01057_2_data.csv,3.2287359796371327
22,22,40.89020974,64.05,shortpend_0.01057_2_data.csv,3.211960898035437
23,23,42.96556789,63.56,shortpend_0.01057_2_data.csv,3.1920275399026288
24,24,44.67420227,63.85,shortpend_0.01057_2_data.csv,3.203872765980951
25,25,46.53927142,63.11,shortpend_0.01057_2_data.csv,3.1733646515021587
26,26,48.68845088,63.54,shortpend_0.01057_2_data.csv,3.191205432506974
27,27,50.35368568,63.37,shortpend_0.01057_2_data.csv,3.184190096421427
28,28,52.14742572,63.9,shortpend_0.01057_2_data.csv,3.205900940183941
29,29,54.42654616,62.56,shortpend_0.01057_2_data.csv,3.1500710709660122
30,30,56.28899986,62.92,shortpend_0.01057_2_data.csv,3.165378974181531
31,31,58.32428581,62.59,shortpend_0.01057_2_data.csv,3.151355717896681
