,Unnamed: 0,time,displacement,max_or_min,displacement_linearized
0,0,0.0,72.42,shortpend_01057_1_data.csv,3.4827702407017456
1,1,2.007936405,74.33,shortpend_01057_1_data.csv,3.5397924982263396
2,2,4.001289772,72.73,shortpend_01057_1_data.csv,3.4922490519013647
3,3,5.75472443,72.27,shortpend_01057_1_data.csv,3.478151261845551
4,4,7.505726027000001,72.25,shortpend_01057_1_data.csv,3.477533782873669
5,5,9.411167311,72.3,shortpend_01057_1_data.csv,3.4790767659908957
6,6,11.33203881,71.58,shortpend_01057_1_data.csv,3.4566247717767897
7,7,13.23850863,72.01,shortpend_01057_1_data.csv,3.4700941414271247
8,8,15.46842806,71.55,shortpend_01057_1_data.csv,3.4556782432439705
9,9,17.00383966,71.8,shortpend_01057_1_data.csv,3.463538740366504
10,10,19.171426699999998,72.06,shortpend_01057_1_data.csv,3.471648637641442
11,11,20.9042701,69.52,shortpend_01057_1_data.csv,3.389454300319094
12,12,22.82202499,70.65,shortpend_01057_1_data.csv,3.4268575905643313
13,13,24.88632743,69.31,shortpend_01057_1_data.csv,3.3823464129180105
14,14,26.48532717,69.9,shortpend_01057_1_data.csv,3.4021891558902073
15,15,28.48322384,68.75,shortpend_01057_1_data.csv,3.3631412802652836
16,16,30.29120057,71.03,shortpend_01057_1_data.csv,3.4391277750814435
17,17,32.09861748,68.08,shortpend_01057_1_data.csv,3.339668300448434
18,18,34.47164242,68.8,shortpend_01057_1_data.csv,3.3648710991135817
19,19,36.46074288,67.87,shortpend_01057_1_data.csv,3.3321962239252367
20,20,37.9360153,68.49,shortpend_01057_1_data.csv,3.3540976673855285
21,21,40.13536851,67.94,shortpend_01057_1_data.csv,3.3346931247878744
22,22,41.66017072,68.45,shortpend_01057_1_data.csv,3.352699054412863
23,23,43.50938599,67.35,shortpend_01057_1_data.csv,3.3134500243040295
24,24,45.4333555,67.61,shortpend_01057_1_data.csv,3.3228670509714697
25,25,47.29963295,67.3,shortpend_01057_1_data.csv,3.3116288465091523
26,26,49.26485579,66.99,shortpend_01057_1_data.csv,3.3002629079457098
27,27,51.10171978,67.04,shortpend_01057_1_data.csv,3.3021048840555385
28,28,53.11065261,66.79,shortpend_01057_1_data.csv,3.292860886090136
29,29,54.89819281,66.37,shortpend_01057_1_data.csv,3.277135977707139
30,30,56.77641146,65.7,shortpend_01057_1_data.csv,3.2515276247198344
31,31,58.68019884,66.65,shortpend_01057_1_data.csv,3.2876466765198273
