n,time,displacement,max_or_min
0,0,6.37,1
3,1.504892729,30.72,1
5,3.43522229,30.5,1
7,5.307957552,29.93,1
8,7.210194729,30.57,1
9,9.147434852,31.49,1
10,10.96979751,29.83,1
11,12.82294264,30.03,1
12,14.78758158,30.14,1
13,16.59571781,30.31,1
14,18.51756158,29.42,1
15,20.45325556,29.47,1
16,22.31157555,29.67,1
17,24.23106589,30.09,1
18,26.08680787,29.67,1
19,27.99366274,29.16,1
20,29.87340226,29.42,1
21,31.76038971,29.31,1
22,33.70627847,29.26,1
23,35.56311168,29.31,1
24,37.35612311,30,1
25,39.31844725,29.11,1
26,41.25158801,28.95,1
27,43.10848155,29,1
28,45.00562181,28.8,1
29,46.93270936,29.07,1
30,48.80189791,28.69,1
31,50.62044611,28.69,1
32,52.5645031,29.05,1
33,54.51534142,28.49,1
34,56.33060589,28.23,1
35,58.26291909,28.4,1
36,60.12291422,28.44,1
37,62.06082954,28.23,1
38,63.89096632,28.28,1
39,65.69311156,28.3,1
40,67.63220372,28.23,1
41,69.57732668,28.54,1
42,71.51108303,27.77,1
43,73.24348964,27.92,1
44,75.15681543,28.23,1
45,77.09026685,28.02,1
46,79.07167926,27.3,1
47,80.86694708,27.41,1
48,82.7133471,27.85,1
49,83.73604789,6.25,1
50,84.62975611,27.77,1
51,86.5725924,27.35,1
52,88.42922606,27.66,1
53,90.33689608,28.02,1
54,92.27720418,27.7,1
55,94.11040606,27.2,1
56,95.95528879,27.35,1
57,96.06916299,27.35,1
58,97.89717974,27.39,1
59,99.8540699,27.25,1
60,101.6927606,26.99,1
61,103.5955218,27.3,1
62,105.4625927,27.2,1
63,107.3595244,27.2,1
64,109.1987647,26.68,1
65,111.1502592,27.23,1
66,113.0002507,26.98,1
67,114.9244122,27.03,1
68,116.7595088,26.48,1
69,118.6728147,27.04,1
70,120.6430513,26.89,1
71,122.4648181,26.43,1
72,124.2620708,26.63,1
73,126.2280115,26.84,1
74,128.1564526,27.1,1
75,129.9803981,26.68,1
76,131.9025516,26.31,1
77,133.8734256,26.92,1
78,135.6825651,26.98,1
79,137.5242201,26.58,1
80,139.4433893,26.17,1
81,141.3823482,26.89,1
82,143.2453777,26.84,1
83,145.1622523,26.01,1
84,147.0207406,26,1
85,148.9527205,26.25,1
86,150.7968601,26.36,1
87,152.7027606,26.32,1
88,154.556765,25.86,1
89,156.3687431,26.15,1
90,158.4293727,26.48,1
91,160.2281653,25.65,1
92,162.0767938,25.5,1
93,164.0462054,26.12,1
94,165.9618749,25.84,1
95,167.7806317,25.96,1
96,169.7655176,25.5,1
97,171.5583841,25.96,1
98,173.4140128,25.96,1
99,175.4460873,25.65,1
100,177.2853955,25.86,1
101,179.0794214,25.6,1
102,181.0422737,26.2,1
103,183.0173398,25.14,1
104,184.807614,25.17,1
105,186.649295,25.5,1
106,188.6006927,25.96,1
107,190.5095788,25.09,1
108,192.3756873,25.55,1
109,194.1929785,26.01,1
110,196.2014114,25.6,1
111,198.0419721,25.02,1
112,199.892342,25.22,1
113,201.8026716,26.22,1
114,203.6559085,25.14,1
115,205.5830091,24.83,1
116,207.4214589,25.19,1
117,209.3591448,25.24,1
