,time,displacement,max_or_min
0,0,68.2,1
1,1.21551687,68.18,1
2,3.009435,67.41,1
3,5.01044733,67.51,1
4,6.77350003,67.53,1
5,8.62575275,67.51,1
6,10.60851724,66.94,1
7,12.44027597,67.3,1
8,14.45637853,66.07,1
9,16.31540377,66.79,1
10,18.26824195,65.91,1
11,20.09224135,66.01,1
12,21.93082745,65.84,1
13,23.90213949,66.12,1
14,25.60530335,65.19,1
15,28.51815278,65.4,1
16,29.55385715,65.22,1
17,31.47122747,64.73,1
18,33.37364036,64.98,1
19,35.46227652,64.73,1
20,37.3671065,64.31,1
21,39.40584547,64.47,1
22,40.89020974,64.05,1
23,42.96556789,63.56,1
24,44.67420227,63.85,1
25,46.53927142,63.11,1
26,48.68845088,63.54,1
27,50.35368568,63.37,1
28,52.14742572,63.9,1
29,54.42654616,62.56,1
30,56.28899986,62.92,1
31,58.32428581,62.59,1
32,60.06435,62.96,1
33,61.7553836,62.54,1
34,63.4917873,62.35,1
35,65.45446,62.2,1
36,67.483204,62.34,1
37,69.6437734,61.58,1
38,71.1365307,62.08,1
39,73.1773108,61.51,1
40,75.3636778,61.25,1
41,76.8688176,61.25,1
42,78.8609195,61.15,1
43,81.4251307,61.17,1
44,82.5733064,60.91,1
45,84.3798495,60.96,1
46,86.9395199,60.38,1
47,88.2826927,60.89,1
48,90.0479372,60.24,1
49,91.9900797,60.53,1
50,93.8794261,60.12,1
51,96.6825467,60.12,1
52,99.0319818,59.4,1
53,100.9921714,60.07,1
54,101.9120281,59.45,1
55,103.3976095,59.76,1
56,105.3973547,59.45,1
57,107.2316993,59.04,1
58,109.7626975,59.16,1
59,111.3687554,59.5,1
60,112.7468043,58.78,1
61,114.7282377,58.88,1
62,116.5930114,58.68,1
63,118.5759381,58.78,1
64,120.5686796,58.88,1
65,122.2705203,58.52,1
66,124.2494984,58.52,1
67,126.6101635,58.21,1
68,127.9937738,58.63,1
69,129.8783572,57.85,1
70,131.7716919,58.42,1
71,133.7237292,57.42,1
72,135.9941631,57.65,1
73,137.6502946,57.68,1
74,139.7422629,57.65,1
75,141.4314204,57.29,1
76,143.3306733,57.9,1
77,144.9308234,56.98,1
78,147.8155842,57.53,1
79,149.8234277,56.87,1
80,151.5727356,57.54,1
81,152.5332783,56.75,1
82,154.5317004,57.03,1
83,156.3487182,56.86,1
84,158.3633478,57.54,1
85,160.2464655,56.75,1
86,161.9688426,56.62,1
87,164.8340595,56.75,1
88,165.8828455,56.55,1
89,168.1346441,56.72,1
90,169.6448694,56.24,1
91,171.8702288,56.7,1
92,173.7304211,56.2,1
93,175.8767405,56.13,1
94,177.1987463,56.39,1
95,179.0362809,55.95,1
96,181.2029157,56.25,1
97,182.8841906,55.89,1
98,184.7594238,55.36,1
99,186.6466935,56.51,1
100,189.3420442,55.31,1
101,190.5970886,56.34,1
102,192.2245775,55.1,1
103,194.1758838,56.34,1
104,196.0919164,55.31,1
105,198.1273118,55.26,1
106,199.943014,54.91,1
107,201.9759191,55.21,1
108,203.7331031,55.05,1
109,206.2455261,55.48,1
110,207.4110912,54.91,1
111,209.4526087,54.9,1
112,211.4794913,54.9,1
113,213.5721474,54.86,1
114,215.0927337,54.71,1
115,216.8927057,54.76,1
116,218.7886539,54.55,1
117,220.7214859,54.54,1
