,time,displacement,max_or_min
0,0,72.42,1
1,2.007936405,74.33,1
2,4.001289772,72.73,1
3,5.75472443,72.27,1
4,7.505726027,72.25,1
5,9.411167311,72.3,1
6,11.33203881,71.58,1
7,13.23850863,72.01,1
8,15.46842806,71.55,1
9,17.00383966,71.8,1
10,19.1714267,72.06,1
11,20.9042701,69.52,1
12,22.82202499,70.65,1
13,24.88632743,69.31,1
14,26.48532717,69.9,1
15,28.48322384,68.75,1
16,30.29120057,71.03,1
17,32.09861748,68.08,1
18,34.47164242,68.8,1
19,36.46074288,67.87,1
20,37.9360153,68.49,1
21,40.13536851,67.94,1
22,41.66017072,68.45,1
23,43.50938599,67.35,1
24,45.4333555,67.61,1
25,47.29963295,67.3,1
26,49.26485579,66.99,1
27,51.10171978,67.04,1
28,53.11065261,66.79,1
29,54.89819281,66.37,1
30,56.77641146,65.7,1
31,58.68019884,66.65,1
32,60.6006407,65.55,1
33,62.44977014,65.96,1
34,64.3197376,64.91,1
35,66.19218962,67.3,1
36,68.15225928,64.73,1
37,69.98463004,65.19,1
38,71.95275705,64.31,1
39,73.8236665,65.86,1
40,75.66977899,64.3,1
41,77.64658182,64.47,1
42,79.5286638,64.26,1
43,81.39064591,64.76,1
44,83.34255927,63.26,1
45,85.2508158,63.64,1
46,87.07919924,63.9,1
47,89.1584646,64.11,1
48,90.84896128,63.16,1
49,92.89894788,62.85,1
50,94.77823226,62.85,1
51,96.53474491,63.16,1
52,98.4556915,62.39,1
53,98.54126875,62.39,1
54,100.4799425,62.04,1
55,102.5370752,63.13,1
56,104.1354598,62.85,1
57,107.2031652,61.98,1
58,107.8807024,61.2,1
59,109.9886865,62.44,1
60,111.8351418,61.51,1
61,113.6247401,61.92,1
62,115.5052199,60.84,1
63,117.3801665,61.92,1
64,119.2711519,60.69,1
65,121.1466686,61.2,1
66,123.2255735,60.43,1
67,125.0560879,61.62,1
68,126.8070418,60.38,1
69,128.9519102,61.15,1
70,130.7472972,60.41,1
71,132.5178961,61.36,1
72,134.4551057,60.26,1
73,136.3492259,60.31,1
74,138.2169387,60.17,1
75,140.0894317,60.89,1
76,142.0408451,59.71,1
77,143.9204838,59.86,1
78,146.0014564,59.71,1
79,147.6638591,59.3,1
80,149.6188699,59.71,1
81,152.2408277,59.5,1
82,153.2645628,59.45,1
83,155.227843,58.81,1
84,157.144174,59.6,1
85,159.1101982,58.37,1
86,161.3362896,59.6,1
87,162.8003122,58.4,1
88,164.7729928,58.83,1
89,166.5529098,57.85,1
90,168.5860857,58.93,1
91,171.2780771,57.85,1
92,172.8518264,58.51,1
93,174.2536952,57.53,1
94,176.2201521,58.73,1
95,177.8714136,57.18,1
96,179.9868607,58.01,1
97,181.9069404,57.65,1
98,183.5887536,58.21,1
99,185.4127657,57.7,1
100,187.3767311,57.63,1
101,189.243308,57.54,1
102,191.2313387,57.44,1
103,193.0708703,57.11,1
104,195.052302,56.92,1
105,197.0645367,57.7,1
106,198.9035575,57.29,1
107,200.718018,57.13,1
108,202.8327946,56.67,1
109,204.4841134,57.08,1
110,206.428678,57.39,1
111,208.1576244,56.87,1
112,210.1250278,56.05,1
113,212.1896848,57.08,1
114,213.9953245,56.2,1
115,216.1391536,56.08,1
116,217.6550304,55.67,1
117,219.6613418,57.34,1
118,221.6733112,56.05,1
119,223.4563197,55.82,1
120,225.4004549,55.26,1
121,227.2801565,57.01,1
122,229.0392372,55.69,1
123,231.2231476,56.34,1
124,233.8651611,55.52,1
125,234.7293216,56.31,1
126,236.7186095,55.15,1
127,238.485481,55.79,1
128,240.609024,55.21,1
129,242.3133225,56.36,1
130,244.2330286,55.26,1
131,246.0350582,55.1,1
132,247.9716391,55.21,1
